Sample in Buffer,Sample in Window,TRIGGER,ads422x_db[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
0,0,0,14
1,1,0,9
2,2,0,14
3,3,0,8
4,4,0,16
5,5,0,10
6,6,0,19
7,7,0,11
8,8,0,5
9,9,0,8
10,10,0,6
11,11,0,9
12,12,0,13
13,13,0,10
14,14,0,8
15,15,0,6
16,16,0,14
17,17,0,2
18,18,0,5
19,19,0,-1
20,20,0,7
21,21,0,6
22,22,0,18
23,23,0,8
24,24,0,4
25,25,0,-5
26,26,0,-1
27,27,0,7
28,28,0,-2
29,29,0,6
30,30,0,14
31,31,0,12
32,32,0,3
33,33,0,6
34,34,0,11
35,35,0,16
36,36,0,14
37,37,0,10
38,38,0,14
39,39,0,13
40,40,0,10
41,41,0,4
42,42,0,9
43,43,0,9
44,44,0,2
45,45,0,8
46,46,0,4
47,47,0,9
48,48,0,5
49,49,0,17
50,50,0,17
51,51,0,14
52,52,0,22
53,53,0,14
54,54,0,12
55,55,0,13
56,56,0,17
57,57,0,20
58,58,0,14
59,59,0,12
60,60,0,9
61,61,0,13
62,62,0,17
63,63,0,17
64,64,0,20
65,65,0,21
66,66,0,16
67,67,0,17
68,68,0,14
69,69,0,3
70,70,0,5
71,71,0,9
72,72,0,10
73,73,0,19
74,74,0,9
75,75,0,7
76,76,0,18
77,77,0,12
78,78,0,15
79,79,0,16
80,80,0,24
81,81,0,16
82,82,0,13
83,83,0,16
84,84,0,7
85,85,0,-1
86,86,0,10
87,87,0,22
88,88,0,9
89,89,0,14
90,90,0,7
91,91,0,11
92,92,0,7
93,93,0,17
94,94,0,6
95,95,0,9
96,96,0,5
97,97,0,17
98,98,0,6
99,99,0,5
100,100,0,12
101,101,0,12
102,102,0,6
103,103,0,7
104,104,0,4
105,105,0,0
106,106,0,1
107,107,0,2
108,108,0,6
109,109,0,11
110,110,0,-1
111,111,0,9
112,112,0,0
113,113,0,11
114,114,0,6
115,115,0,7
116,116,0,0
117,117,0,5
118,118,0,5
119,119,0,7
120,120,0,9
121,121,0,8
122,122,0,10
123,123,0,5
124,124,0,4
125,125,0,6
126,126,0,11
127,127,0,12
128,128,0,10
129,129,0,-4
130,130,0,12
131,131,0,12
132,132,0,9
133,133,0,3
134,134,0,15
